Age Range,Gender,Location,Language,Interest,Device Type,Online Purchase Behavior,Ad Engagement (Clicks/Views),Time Spent on Platform (mins),Page Likes,Ad Impressions,Recent Ad Interaction,Ad Placement,Ad Format,Lookalike Score
45-54,Female,Illinois,English,Technology,Desktop,Frequent,21,13.1,9,49,Viewed,Stories,Video,0.9
55+,Male,New York,Hindi,Travel,Desktop,Rare,70,23.8,11,43,Ignored,Messenger,Video,0.4
55+,Male,New York,Hindi,Fitness,Mobile,Frequent,50,41,11,34,Ignored,Stories,Carousel,0.08
45-54,Female,Illinois,Chinese,Travel,Mobile,Frequent,20,34.8,7,6,Viewed,Feed,Image,0.02
55+,Male,Illinois,English,Technology,Desktop,Rare,43,16.6,11,12,Clicked,Stories,Carousel,0.13
18-24,Female,Texas,Hindi,Travel,Tablet,Occasional,15,64.3,9,31,Ignored,Feed,Video,0.51
35-44,Non-binary,Texas,Hindi,Food,Tablet,Occasional,75,0.8,11,9,Clicked,Feed,Video,0.19
35-44,Female,New York,Hindi,Gaming,Mobile,Rare,83,15.4,7,29,Ignored,Stories,Video,0.56
25-34,Non-binary,Florida,Hindi,Technology,Mobile,Frequent,84,32,11,21,Clicked,Messenger,Image,0.93
55+,Female,Florida,Hindi,Technology,Desktop,Frequent,43,13.5,11,47,Ignored,Feed,Carousel,0.45
55+,Non-binary,California,Spanish,Travel,Mobile,Rare,34,3,13,25,Clicked,Feed,Carousel,0.51
55+,Non-binary,Illinois,English,Technology,Mobile,Frequent,16,3.1,4,41,Ignored,Messenger,Video,0.34
45-54,Female,Texas,Chinese,Gaming,Desktop,Occasional,16,23,7,25,Viewed,Feed,Image,0.87
25-34,Female,Illinois,Chinese,Technology,Tablet,Occasional,34,10.2,13,34,Viewed,Feed,Video,0.75
55+,Non-binary,California,English,Food,Tablet,Frequent,93,84.6,3,12,Ignored,Messenger,Image,0.69
45-54,Non-binary,Illinois,Spanish,Gaming,Desktop,Frequent,98,1,12,6,Viewed,Messenger,Image,0.74
45-54,Female,New York,Spanish,Food,Desktop,Rare,31,13.8,14,23,Ignored,Stories,Carousel,0.44
35-44,Male,California,French,Travel,Desktop,Rare,68,31.2,10,40,Ignored,Messenger,Carousel,0.11
25-34,Male,New York,Spanish,Gaming,Tablet,Occasional,67,55.2,11,12,Ignored,Stories,Carousel,0.81
35-44,Male,California,English,Technology,Desktop,Occasional,5,94.8,9,37,Viewed,Messenger,Video,0.49
35-44,Male,Florida,English,Technology,Tablet,Frequent,0,21.6,11,24,Viewed,Messenger,Video,0.27
45-54,Female,Illinois,English,Travel,Desktop,Occasional,79,52,8,7,Viewed,Messenger,Carousel,0.65
55+,Female,California,Chinese,Travel,Mobile,Frequent,54,41.1,5,22,Clicked,Messenger,Video,0.17
45-54,Male,Texas,Hindi,Food,Desktop,Occasional,71,62.1,14,17,Viewed,Feed,Video,0.92
35-44,Non-binary,California,Hindi,Fitness,Mobile,Frequent,49,32.8,10,46,Viewed,Stories,Image,0.96
25-34,Male,New York,Spanish,Travel,Mobile,Frequent,77,29.4,10,9,Clicked,Messenger,Image,0.25
18-24,Male,Illinois,Chinese,Fitness,Desktop,Occasional,92,23.1,8,19,Clicked,Feed,Image,0.77
35-44,Female,Florida,Chinese,Fitness,Mobile,Rare,37,29.9,10,35,Viewed,Stories,Carousel,0.54
25-34,Female,Florida,English,Fitness,Desktop,Occasional,53,49.4,10,25,Ignored,Messenger,Video,0.52
55+,Non-binary,New York,French,Food,Desktop,Frequent,22,12.8,8,25,Viewed,Messenger,Carousel,0.13
35-44,Male,New York,Spanish,Food,Tablet,Rare,58,1.8,13,22,Ignored,Stories,Carousel,0.77
35-44,Female,California,Chinese,Technology,Tablet,Occasional,64,12.9,13,42,Clicked,Messenger,Image,0.66
55+,Female,New York,English,Food,Desktop,Frequent,46,31.8,5,40,Ignored,Messenger,Carousel,0.12
18-24,Female,New York,Spanish,Technology,Mobile,Rare,77,18,9,42,Viewed,Feed,Carousel,0.41
25-34,Male,New York,English,Fitness,Mobile,Frequent,27,2.9,13,21,Clicked,Messenger,Image,0.96
45-54,Male,Florida,English,Travel,Tablet,Frequent,92,22.7,8,7,Viewed,Feed,Carousel,0.17
55+,Non-binary,New York,Chinese,Technology,Tablet,Rare,79,48.8,9,46,Ignored,Stories,Image,0.46
18-24,Non-binary,Texas,Spanish,Travel,Tablet,Occasional,40,59.3,9,8,Viewed,Stories,Carousel,0.5
45-54,Male,California,Hindi,Gaming,Mobile,Occasional,60,29.7,12,14,Clicked,Messenger,Carousel,0.01
18-24,Male,California,French,Food,Mobile,Frequent,52,42.1,8,19,Clicked,Messenger,Carousel,0.6
35-44,Male,Illinois,Chinese,Fitness,Tablet,Occasional,32,36.7,11,40,Ignored,Feed,Video,0.12
18-24,Male,Illinois,English,Food,Mobile,Rare,45,15.9,13,36,Ignored,Messenger,Image,0.11
25-34,Female,Illinois,Hindi,Technology,Tablet,Frequent,20,9.4,7,35,Viewed,Feed,Image,0.94
18-24,Male,Florida,Chinese,Gaming,Desktop,Rare,88,24.5,14,14,Ignored,Feed,Video,0.74
25-34,Non-binary,Texas,Chinese,Food,Desktop,Rare,90,31.6,12,47,Viewed,Stories,Video,0.54
45-54,Female,New York,Chinese,Gaming,Mobile,Frequent,60,37.5,5,21,Ignored,Feed,Video,0.48
35-44,Male,Florida,Chinese,Food,Desktop,Rare,37,35.3,12,36,Clicked,Feed,Video,0.98
18-24,Female,Florida,French,Travel,Mobile,Occasional,38,33.5,9,35,Clicked,Stories,Carousel,0.45
25-34,Female,California,English,Travel,Mobile,Frequent,95,34.3,14,5,Viewed,Feed,Carousel,0.84
35-44,Non-binary,New York,French,Food,Mobile,Occasional,80,7.8,11,48,Clicked,Stories,Carousel,0.53
55+,Female,California,English,Gaming,Mobile,Occasional,98,8.6,11,22,Ignored,Feed,Carousel,0.98
18-24,Female,New York,Chinese,Technology,Mobile,Frequent,96,18.2,7,3,Viewed,Stories,Carousel,0.82
18-24,Male,Illinois,Hindi,Food,Desktop,Frequent,94,0.2,7,27,Viewed,Feed,Image,0.43
25-34,Non-binary,California,Chinese,Travel,Mobile,Occasional,24,9.8,8,28,Viewed,Feed,Image,0.6
55+,Non-binary,Texas,Spanish,Technology,Desktop,Occasional,56,17.9,10,9,Clicked,Feed,Image,0.29
35-44,Female,Florida,French,Fitness,Mobile,Rare,31,37.8,17,5,Viewed,Messenger,Image,0.19
55+,Male,Illinois,Hindi,Food,Desktop,Rare,71,0.5,10,12,Clicked,Stories,Video,0.41
45-54,Non-binary,Illinois,Spanish,Food,Desktop,Frequent,97,8.2,17,5,Ignored,Feed,Video,0.61
18-24,Female,Illinois,Chinese,Food,Desktop,Occasional,13,35.1,12,29,Viewed,Feed,Carousel,0.9
55+,Female,California,Hindi,Travel,Tablet,Frequent,1,26.3,3,19,Clicked,Stories,Image,0.29
35-44,Male,California,Chinese,Fitness,Desktop,Frequent,7,32.8,9,48,Clicked,Stories,Carousel,0.02
45-54,Male,New York,Spanish,Fitness,Tablet,Frequent,34,72.8,8,41,Viewed,Messenger,Image,0.21
55+,Male,New York,French,Technology,Desktop,Occasional,42,54.1,12,45,Ignored,Stories,Carousel,0.07
55+,Non-binary,California,English,Technology,Tablet,Frequent,33,57.9,14,43,Ignored,Stories,Carousel,0.02
45-54,Male,California,Chinese,Food,Tablet,Occasional,81,22,15,15,Viewed,Stories,Carousel,0.08
45-54,Male,California,French,Fitness,Desktop,Frequent,8,20.8,15,40,Clicked,Stories,Image,0.06
45-54,Male,New York,Hindi,Food,Mobile,Frequent,24,11.8,14,16,Clicked,Feed,Image,0.09
35-44,Male,Texas,English,Gaming,Tablet,Frequent,59,6.1,10,3,Clicked,Messenger,Carousel,0.69
55+,Male,Illinois,Hindi,Gaming,Tablet,Frequent,85,7.1,11,6,Clicked,Feed,Carousel,0.66
25-34,Female,Texas,Spanish,Technology,Tablet,Occasional,30,27.4,10,27,Ignored,Feed,Carousel,0.32
25-34,Female,Illinois,Hindi,Food,Mobile,Frequent,88,79.1,10,11,Viewed,Feed,Video,0.32
18-24,Non-binary,Illinois,French,Technology,Tablet,Frequent,8,39.5,11,11,Clicked,Stories,Carousel,0.64
45-54,Female,Florida,Hindi,Travel,Desktop,Rare,80,5.5,13,13,Viewed,Feed,Image,0.36
55+,Non-binary,California,Hindi,Travel,Desktop,Occasional,59,16,14,31,Ignored,Feed,Video,0.49
55+,Non-binary,Texas,Hindi,Travel,Tablet,Frequent,42,1.3,10,5,Viewed,Stories,Carousel,0
35-44,Non-binary,Illinois,French,Fitness,Desktop,Occasional,50,12.6,11,46,Viewed,Stories,Video,0.67
18-24,Male,Texas,Chinese,Fitness,Tablet,Occasional,19,38.4,12,19,Ignored,Stories,Image,0.05
18-24,Male,Illinois,English,Travel,Desktop,Frequent,70,31.8,10,7,Viewed,Messenger,Video,0.52
45-54,Male,Texas,Chinese,Food,Tablet,Frequent,2,4,11,24,Viewed,Messenger,Carousel,0.68
45-54,Female,Florida,English,Technology,Tablet,Occasional,31,86.1,12,34,Clicked,Feed,Image,0.05
18-24,Non-binary,New York,Hindi,Travel,Desktop,Occasional,19,37.6,8,4,Clicked,Messenger,Image,0.68
18-24,Female,Texas,Hindi,Food,Desktop,Rare,98,27.5,8,37,Clicked,Stories,Image,0.39
18-24,Non-binary,Texas,English,Food,Mobile,Occasional,40,5.7,14,11,Ignored,Feed,Image,0.74
25-34,Female,California,Chinese,Travel,Mobile,Frequent,54,2.7,10,33,Viewed,Stories,Video,0.72
25-34,Female,Illinois,French,Gaming,Tablet,Occasional,5,0.6,10,15,Clicked,Stories,Video,0.3
35-44,Female,Illinois,French,Gaming,Tablet,Rare,84,31.6,8,46,Clicked,Feed,Carousel,0.74
45-54,Non-binary,Texas,Hindi,Food,Tablet,Frequent,42,4.2,7,47,Ignored,Messenger,Image,0.77
45-54,Male,Illinois,Spanish,Technology,Desktop,Occasional,69,16.6,12,37,Viewed,Messenger,Image,0.87
45-54,Male,California,French,Gaming,Desktop,Frequent,48,42.1,11,3,Ignored,Messenger,Image,0.39
25-34,Male,California,French,Food,Mobile,Frequent,54,7.3,17,40,Clicked,Stories,Image,0.94
45-54,Male,California,Chinese,Fitness,Desktop,Frequent,69,42.8,12,17,Viewed,Feed,Video,0.46
18-24,Male,Illinois,Chinese,Gaming,Mobile,Occasional,14,5.7,9,32,Ignored,Feed,Carousel,0.84
35-44,Non-binary,Texas,Spanish,Fitness,Mobile,Occasional,29,17,10,6,Viewed,Stories,Image,0.76
18-24,Female,California,Hindi,Fitness,Desktop,Frequent,94,0.3,8,11,Viewed,Messenger,Video,0.94
25-34,Female,Illinois,English,Fitness,Mobile,Occasional,25,4.6,12,14,Ignored,Stories,Image,0.34
25-34,Non-binary,Florida,Hindi,Gaming,Desktop,Occasional,67,95.1,11,48,Clicked,Messenger,Carousel,0.58
25-34,Female,Florida,Spanish,Gaming,Desktop,Occasional,21,33,9,45,Clicked,Stories,Image,0.03
35-44,Non-binary,Florida,Spanish,Technology,Desktop,Frequent,53,4.1,9,33,Ignored,Messenger,Image,0.76
35-44,Non-binary,New York,English,Technology,Tablet,Occasional,56,81.3,13,35,Ignored,Feed,Video,0.5
18-24,Male,Florida,Hindi,Technology,Tablet,Rare,26,1.2,15,6,Viewed,Stories,Image,0.18
55+,Male,California,French,Fitness,Desktop,Frequent,80,30.1,8,9,Viewed,Messenger,Carousel,0.68
55+,Non-binary,Florida,Spanish,Gaming,Tablet,Frequent,3,39.4,9,4,Viewed,Feed,Carousel,0.59
18-24,Female,Texas,English,Technology,Tablet,Occasional,15,24.4,10,35,Viewed,Stories,Video,0.66
18-24,Non-binary,Texas,English,Gaming,Tablet,Occasional,78,47.7,8,9,Ignored,Feed,Image,0.44
55+,Female,Illinois,Chinese,Food,Tablet,Rare,2,0.6,16,20,Clicked,Messenger,Carousel,0.91
45-54,Female,New York,French,Technology,Desktop,Rare,61,24.8,6,22,Ignored,Feed,Video,0.77
25-34,Non-binary,Illinois,Hindi,Travel,Desktop,Frequent,96,4.1,14,26,Clicked,Feed,Video,0.96
35-44,Male,California,Chinese,Travel,Desktop,Occasional,70,40.3,13,11,Ignored,Feed,Video,0.56
35-44,Male,California,French,Technology,Mobile,Frequent,10,23.3,12,19,Ignored,Messenger,Carousel,0.45
35-44,Non-binary,New York,French,Fitness,Tablet,Occasional,13,13.7,13,46,Viewed,Messenger,Video,0.66
45-54,Female,Texas,French,Fitness,Tablet,Occasional,48,3.7,10,37,Viewed,Messenger,Video,0.73
45-54,Non-binary,New York,Chinese,Travel,Desktop,Frequent,35,35.6,8,16,Viewed,Feed,Carousel,0.79
55+,Male,Texas,English,Technology,Desktop,Frequent,3,25.9,5,35,Viewed,Messenger,Carousel,0.29
35-44,Male,New York,Chinese,Food,Tablet,Occasional,33,1.5,15,14,Viewed,Messenger,Video,0.51
25-34,Male,California,Hindi,Fitness,Desktop,Occasional,8,83,11,2,Viewed,Feed,Video,0.2
25-34,Female,California,Hindi,Food,Tablet,Occasional,6,20.7,11,41,Ignored,Feed,Carousel,0.24
35-44,Non-binary,California,English,Technology,Tablet,Frequent,10,19.9,10,7,Ignored,Messenger,Image,0.94
55+,Female,Florida,French,Travel,Tablet,Occasional,36,7.3,9,43,Ignored,Feed,Carousel,0.76
45-54,Non-binary,Texas,Spanish,Fitness,Desktop,Frequent,93,9.8,5,39,Ignored,Stories,Carousel,0.38
25-34,Male,Florida,Hindi,Fitness,Tablet,Frequent,64,39.7,12,24,Ignored,Stories,Video,0.46
25-34,Male,Florida,Spanish,Food,Desktop,Rare,91,50.4,11,13,Clicked,Messenger,Image,0.24
55+,Non-binary,Florida,Spanish,Travel,Tablet,Frequent,77,20.5,12,28,Viewed,Messenger,Carousel,0.17
45-54,Female,Florida,Spanish,Travel,Desktop,Occasional,73,70.2,14,4,Ignored,Stories,Carousel,0.18
55+,Male,California,Spanish,Fitness,Tablet,Occasional,18,10.8,5,27,Ignored,Feed,Carousel,0.01
25-34,Female,Texas,Spanish,Technology,Tablet,Frequent,65,5.5,10,5,Clicked,Stories,Image,0.58
45-54,Non-binary,Florida,Chinese,Technology,Mobile,Frequent,5,6,10,30,Ignored,Feed,Video,0.01
35-44,Female,Florida,French,Travel,Desktop,Frequent,69,22.1,7,40,Viewed,Messenger,Carousel,0.6
35-44,Female,California,Chinese,Travel,Tablet,Frequent,27,13.8,9,36,Clicked,Feed,Image,0.71
35-44,Male,New York,Chinese,Fitness,Mobile,Frequent,52,15.3,12,32,Clicked,Feed,Image,0.32
55+,Female,Texas,Hindi,Fitness,Tablet,Frequent,90,10.7,10,39,Ignored,Stories,Carousel,0.48
45-54,Non-binary,New York,Hindi,Fitness,Desktop,Occasional,51,8.9,15,4,Ignored,Feed,Video,0.82
45-54,Non-binary,Florida,Hindi,Technology,Desktop,Occasional,57,81.5,11,39,Viewed,Messenger,Video,0.84
18-24,Male,Texas,English,Technology,Tablet,Rare,66,36.8,14,15,Ignored,Stories,Image,0.49
55+,Non-binary,New York,Spanish,Travel,Tablet,Occasional,7,13.7,15,5,Ignored,Stories,Video,0.65
25-34,Male,New York,Spanish,Food,Desktop,Frequent,77,127.3,13,10,Clicked,Messenger,Image,0.94
45-54,Non-binary,New York,English,Gaming,Tablet,Occasional,89,17.4,8,38,Ignored,Messenger,Video,0.78
55+,Non-binary,Florida,English,Gaming,Mobile,Occasional,17,0.4,8,5,Ignored,Stories,Video,0.3
18-24,Male,Florida,English,Food,Tablet,Occasional,37,11,8,1,Clicked,Messenger,Image,0.61
45-54,Non-binary,Texas,French,Gaming,Mobile,Rare,76,117.2,7,46,Viewed,Stories,Image,0.96
45-54,Female,Florida,French,Technology,Tablet,Frequent,42,71.9,9,3,Clicked,Messenger,Image,0.75
18-24,Male,Florida,English,Food,Desktop,Rare,27,4.6,12,30,Clicked,Feed,Image,0.36
55+,Non-binary,Illinois,English,Food,Desktop,Rare,71,23.7,11,38,Viewed,Feed,Video,0.1
45-54,Female,Texas,French,Fitness,Desktop,Rare,3,3.5,7,44,Ignored,Stories,Carousel,0.69
18-24,Female,California,Chinese,Travel,Tablet,Frequent,96,31.7,9,36,Clicked,Feed,Image,0.81
45-54,Female,New York,Chinese,Travel,Mobile,Occasional,62,22.5,9,41,Ignored,Stories,Carousel,0.82
45-54,Female,California,French,Fitness,Desktop,Rare,51,62,5,6,Clicked,Stories,Video,0.25
25-34,Female,Florida,Hindi,Travel,Tablet,Frequent,15,6.8,6,3,Ignored,Feed,Image,0.21
18-24,Male,California,English,Travel,Desktop,Occasional,72,20.6,10,16,Ignored,Messenger,Carousel,0.5
55+,Non-binary,Illinois,Hindi,Technology,Desktop,Frequent,60,21.9,20,43,Ignored,Messenger,Video,0.41
45-54,Non-binary,New York,Spanish,Technology,Desktop,Rare,4,39.5,13,15,Clicked,Feed,Video,0.8
45-54,Non-binary,Texas,French,Gaming,Tablet,Rare,73,24.4,10,37,Viewed,Messenger,Image,0.48
55+,Male,Florida,Spanish,Fitness,Tablet,Rare,43,42.9,10,24,Viewed,Messenger,Video,0.96
45-54,Male,Florida,Chinese,Travel,Mobile,Frequent,40,46.1,5,6,Clicked,Messenger,Carousel,0.11
55+,Female,Illinois,English,Food,Tablet,Frequent,13,12,9,15,Viewed,Feed,Carousel,0.36
55+,Non-binary,California,Hindi,Technology,Tablet,Occasional,79,17.2,8,26,Clicked,Stories,Video,0.42
45-54,Non-binary,Illinois,English,Fitness,Desktop,Occasional,46,27.8,12,13,Viewed,Stories,Image,0.36
45-54,Non-binary,California,Hindi,Gaming,Tablet,Occasional,47,0.3,8,31,Ignored,Messenger,Video,0.26
35-44,Male,California,Spanish,Food,Tablet,Occasional,7,23.9,13,19,Clicked,Feed,Image,0.61
18-24,Non-binary,Illinois,English,Technology,Desktop,Frequent,37,44.6,8,35,Viewed,Stories,Image,0.77
35-44,Male,New York,Chinese,Food,Tablet,Occasional,58,28.3,8,14,Clicked,Messenger,Image,0.91
35-44,Female,Texas,Chinese,Fitness,Desktop,Frequent,47,26.1,7,43,Clicked,Feed,Video,0.23
55+,Non-binary,Texas,Chinese,Food,Desktop,Occasional,27,8.4,11,2,Ignored,Feed,Image,0.77
55+,Male,New York,Hindi,Technology,Mobile,Occasional,6,11.1,14,24,Clicked,Messenger,Image,0.51
25-34,Female,California,French,Food,Mobile,Frequent,99,9.3,13,48,Viewed,Messenger,Carousel,0.11
18-24,Male,Texas,English,Travel,Desktop,Occasional,45,0.6,10,21,Ignored,Feed,Image,0.65
35-44,Non-binary,Texas,Spanish,Gaming,Mobile,Occasional,84,14.1,14,42,Viewed,Feed,Video,0.29
55+,Non-binary,Illinois,Spanish,Travel,Desktop,Occasional,6,8.8,8,9,Ignored,Messenger,Carousel,0.22
25-34,Female,Florida,English,Food,Desktop,Frequent,38,18.4,8,40,Clicked,Feed,Image,0.33
35-44,Male,Illinois,Chinese,Technology,Mobile,Frequent,53,1.6,7,8,Ignored,Messenger,Video,0.83
35-44,Female,Illinois,French,Travel,Desktop,Frequent,26,8.1,13,30,Ignored,Feed,Image,0.43
35-44,Non-binary,Texas,Chinese,Technology,Desktop,Occasional,87,7.4,7,36,Clicked,Messenger,Carousel,0.61
18-24,Male,Florida,Chinese,Food,Desktop,Frequent,16,21.4,13,20,Clicked,Feed,Image,0.6
55+,Male,Illinois,Hindi,Gaming,Tablet,Frequent,89,8.7,12,48,Clicked,Feed,Image,0.21
55+,Female,Texas,Hindi,Fitness,Desktop,Occasional,41,70.3,6,38,Ignored,Stories,Carousel,0.18
45-54,Female,California,English,Fitness,Mobile,Rare,10,41.2,12,28,Viewed,Feed,Video,0.34
55+,Male,Texas,French,Technology,Tablet,Frequent,95,7.7,9,24,Ignored,Messenger,Image,0.27
35-44,Non-binary,Florida,French,Technology,Mobile,Frequent,85,9.5,8,46,Viewed,Stories,Video,0.02
25-34,Female,Texas,Hindi,Gaming,Desktop,Frequent,88,25.6,8,34,Viewed,Messenger,Image,0.12
55+,Non-binary,Texas,Hindi,Fitness,Desktop,Frequent,72,32.7,7,29,Viewed,Messenger,Carousel,0.99
35-44,Non-binary,California,English,Technology,Mobile,Frequent,77,35.3,13,47,Viewed,Stories,Carousel,0.84
25-34,Non-binary,Texas,Chinese,Travel,Desktop,Frequent,93,49.1,5,21,Viewed,Feed,Video,0.21
25-34,Male,Illinois,Spanish,Gaming,Mobile,Frequent,23,94.8,10,39,Ignored,Stories,Image,0.16
35-44,Female,New York,English,Gaming,Desktop,Rare,13,36.7,9,31,Clicked,Feed,Image,0.02
18-24,Female,Texas,English,Travel,Tablet,Occasional,92,4,12,1,Viewed,Stories,Image,0.06
18-24,Non-binary,New York,English,Fitness,Mobile,Frequent,11,21.7,10,26,Ignored,Feed,Image,0.26
55+,Non-binary,California,French,Gaming,Desktop,Frequent,20,7.6,13,6,Clicked,Messenger,Video,0.25
45-54,Female,New York,Spanish,Gaming,Mobile,Rare,47,12.3,7,46,Clicked,Stories,Carousel,0.88
25-34,Female,Florida,Hindi,Fitness,Mobile,Occasional,63,74,10,35,Clicked,Feed,Video,0.87
18-24,Female,Illinois,English,Gaming,Tablet,Occasional,71,0.9,9,36,Viewed,Feed,Video,0.35
25-34,Non-binary,New York,French,Food,Tablet,Frequent,24,27.5,10,48,Clicked,Stories,Video,0.07
55+,Male,Texas,Chinese,Gaming,Tablet,Occasional,17,9.1,8,36,Clicked,Stories,Image,0.07
25-34,Female,Texas,Hindi,Food,Mobile,Occasional,85,1.6,13,46,Viewed,Stories,Image,0.53
35-44,Non-binary,New York,English,Gaming,Mobile,Frequent,63,7.6,5,40,Ignored,Stories,Image,0.32
25-34,Male,Illinois,Hindi,Gaming,Desktop,Frequent,22,1.1,8,6,Clicked,Messenger,Video,0.57
35-44,Male,Florida,Hindi,Gaming,Mobile,Rare,40,63.4,9,34,Viewed,Messenger,Video,0.41
45-54,Female,Illinois,Hindi,Travel,Tablet,Occasional,23,0.9,13,33,Clicked,Stories,Carousel,0.39
35-44,Female,New York,French,Technology,Mobile,Occasional,97,28.6,8,35,Clicked,Feed,Image,0.79
55+,Male,California,Chinese,Technology,Tablet,Rare,73,35.8,6,44,Ignored,Feed,Carousel,0.37
25-34,Female,Florida,Spanish,Technology,Mobile,Frequent,77,4.7,5,46,Viewed,Messenger,Carousel,0.71
45-54,Male,New York,English,Technology,Mobile,Occasional,99,31.2,5,20,Clicked,Messenger,Video,0.37
18-24,Female,Florida,English,Fitness,Tablet,Frequent,14,31.3,8,38,Viewed,Messenger,Image,0.43
45-54,Male,Illinois,Hindi,Gaming,Tablet,Occasional,19,8.7,10,37,Ignored,Stories,Video,0.58
25-34,Non-binary,Texas,Chinese,Gaming,Mobile,Rare,19,10.1,8,18,Viewed,Messenger,Image,0.06
18-24,Male,California,Spanish,Travel,Mobile,Occasional,97,15.6,8,25,Ignored,Feed,Image,0.46
25-34,Non-binary,Florida,Spanish,Food,Mobile,Frequent,96,31.4,11,26,Viewed,Messenger,Video,0.99
45-54,Female,Texas,Chinese,Travel,Mobile,Occasional,62,24.5,13,31,Ignored,Feed,Video,0.39
18-24,Female,New York,Spanish,Fitness,Tablet,Frequent,3,27.3,15,17,Viewed,Messenger,Video,0.36
25-34,Male,Illinois,Chinese,Gaming,Tablet,Frequent,89,25.4,5,32,Clicked,Messenger,Image,0.18
45-54,Female,Florida,Chinese,Gaming,Tablet,Occasional,59,12.5,13,26,Clicked,Messenger,Image,0.03
35-44,Non-binary,Illinois,Spanish,Fitness,Tablet,Occasional,26,22.1,11,38,Viewed,Stories,Image,0.19
25-34,Non-binary,New York,English,Gaming,Mobile,Occasional,9,80,11,2,Viewed,Stories,Carousel,0.05
35-44,Female,California,Hindi,Fitness,Tablet,Frequent,84,19.1,13,12,Clicked,Feed,Image,0.01
55+,Female,Florida,English,Fitness,Desktop,Rare,17,11,6,35,Viewed,Feed,Image,0.87
45-54,Male,California,French,Fitness,Tablet,Occasional,17,5.6,5,13,Viewed,Messenger,Carousel,0.41
55+,Female,Florida,Spanish,Gaming,Mobile,Frequent,5,0.6,11,34,Clicked,Feed,Image,0.31
35-44,Female,Illinois,French,Technology,Tablet,Frequent,28,65.8,9,22,Viewed,Stories,Image,0.45
45-54,Male,Illinois,Spanish,Technology,Tablet,Frequent,78,8.3,9,31,Ignored,Messenger,Image,0.54
18-24,Male,California,Hindi,Travel,Desktop,Occasional,86,7.5,12,26,Viewed,Stories,Carousel,0.15
18-24,Female,California,French,Travel,Tablet,Rare,62,21.8,5,8,Viewed,Stories,Video,0.04
55+,Non-binary,California,Hindi,Fitness,Mobile,Frequent,35,29.2,10,18,Ignored,Stories,Video,0.57
35-44,Female,New York,Chinese,Food,Desktop,Frequent,8,25.8,5,29,Ignored,Messenger,Image,0.52
45-54,Non-binary,Illinois,Chinese,Technology,Tablet,Occasional,99,42.7,12,29,Viewed,Stories,Image,0.92
55+,Female,Illinois,Hindi,Technology,Mobile,Frequent,85,29.8,9,28,Ignored,Feed,Carousel,0.25
25-34,Female,New York,Spanish,Technology,Mobile,Occasional,28,3.7,12,24,Viewed,Feed,Video,0.76
35-44,Female,Texas,Hindi,Technology,Desktop,Frequent,46,54.4,16,1,Clicked,Feed,Carousel,0.94
35-44,Non-binary,Texas,Hindi,Gaming,Desktop,Frequent,2,20.7,12,45,Ignored,Messenger,Carousel,0.38
55+,Non-binary,California,English,Technology,Desktop,Occasional,4,58,8,7,Ignored,Feed,Image,0.31
25-34,Female,Texas,Spanish,Technology,Desktop,Occasional,89,34.2,11,2,Viewed,Feed,Carousel,0.92
18-24,Female,Texas,Chinese,Food,Desktop,Occasional,30,5.6,10,49,Clicked,Stories,Carousel,0.51
55+,Male,California,French,Fitness,Tablet,Occasional,16,35.9,5,7,Viewed,Messenger,Video,0.99
18-24,Female,New York,Hindi,Travel,Tablet,Rare,10,104.7,11,11,Ignored,Stories,Image,0.45
